거래일,종목명,거래수량,환율,거래금액,수수료,유가잔고,잔액,상대계좌,
거래종류,잔고번호,거래단가,외환잔액,정산금액,거래세,세금,부가세,접속매체,
Smart+거래소주식매수,,"12,516",0,"375,515",0,0,0,스마트폰,
2024.4.18,TIGER Fn반도체TOP10,60,0,"789,100",33,60,"966,052",,
Smart+거래소주식매수,,"13,151",0,"789,133",0,0,0,스마트폰,
2024.4.18,ACE 미국배당다우존스,10,0,"115,050",4,42,"850,998",,
Smart+거래소주식매수,,"11,505",0,"115,054",0,0,0,스마트폰,
2024.4.19,KODEX 200TR,10,0,"124,350",5,51,"726,643",,
Smart+거래소주식매수,,"12,435",0,"124,355",0,0,0,스마트폰,
2024.4.19,ACE 미국배당다우존스,10,0,"114,500",4,52,"612,139",,
Smart+거래소주식매수,,"11,450",0,"114,504",0,0,0,스마트폰,
2024.4.19,SOL 미국배당다우존스(H),70,0,"737,600",31,70,"-125,492",,
Smart+거래소주식매수,,"10,537",0,"612,139",0,0,0,스마트폰,
2024.4.19,KBSTAR 미국30년국채엔화노출(합성 H),10,0,"85,950",3,20,"-211,445",,
Smart+거래소주식매수,,"8,595",0,0,0,0,0,스마트폰,
2024.4.19,KODEX KOFR금리액티브(합성),10,0,"1,064,650",44,20,"853,161",,
Smart+거래소주식매도,,"106,465",0,"853,161",0,0,0,스마트폰,
2024.4.22,SOL 미국배당다우존스(H),10,0,"105,200",4,80,"747,957",,
Smart+거래소주식매수,,"10,520",0,"105,204",0,0,0,스마트폰,
2024.4.22,KBSTAR 미국반도체NYSE(H),10,0,"137,050",5,13,"610,902",,
Smart+거래소주식매수,,"13,705",0,"137,055",0,0,0,스마트폰,
2024.4.22,KBSTAR 미국30년국채엔화노출(합성 H),10,0,"86,450",3,30,"524,449",,
Smart+거래소주식매수,,"8,645",0,"86,453",0,0,0,스마트폰,
2024.4.22,KODEX 200TR,51,0,"638,265",26,0,"1,162,688",,
Smart+거래소주식매도,,"12,515",0,"638,239",0,0,0,스마트폰,
2024.4.22,KODEX KOFR금리액티브(합성),10,0,"1,064,750",44,10,"2,227,394",,
Smart+거래소주식매도,,"106,475",0,"1,064,706",0,0,0,스마트폰,
